VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-07-23T18:52:29.000,2022-07-23T19:16:30.000,1.0,4.5,1.0,N,79,142,1,18.0,2.5,0.5,4.25,0.0,0.3,25.55,2.5,0.0
1,2022-02-12T18:58:52.000,2022-02-12T19:17:01.000,1.0,2.0,1.0,N,262,262,1,11.0,2.5,0.5,3.6,0.0,0.3,17.9,2.5,0.0
1,2022-10-06T06:22:47.000,2022-10-06T06:41:54.000,1.0,2.2,1.0,N,230,140,1,13.5,2.5,0.5,1.0,0.0,0.3,17.8,2.5,0.0
2,2022-11-02T11:38:01.000,2022-11-02T12:12:04.000,1.0,3.64,1.0,N,237,90,2,21.5,0.0,0.5,0.0,0.0,0.3,24.8,2.5,0.0
2,2022-12-27T12:52:49.000,2022-12-27T13:05:26.000,1.0,2.27,1.0,N,162,140,1,14.2,0.0,0.5,3.64,0.0,1.0,21.84,2.5,0.0
2,2022-07-08T12:21:03.000,2022-07-08T12:36:39.000,1.0,2.18,1.0,N,125,170,2,11.5,0.0,0.5,0.0,0.0,0.3,14.8,2.5,0.0
2,2022-08-17T23:10:05.000,2022-08-17T23:23:21.000,1.0,3.15,1.0,N,237,151,1,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5,0.0
2,2022-05-06T01:18:20.000,2022-05-06T01:35:20.000,2.0,4.7,1.0,N,114,239,1,16.5,0.5,0.5,4.06,0.0,0.3,24.36,2.5,0.0
1,2022-05-30T17:33:14.000,2022-05-30T17:41:53.000,1.0,2.1,1.0,N,229,262,1,8.5,2.5,0.5,2.35,0.0,0.3,14.15,2.5,0.0
1,2022-05-17T10:22:56.000,2022-05-17T10:52:26.000,1.0,3.1,1.0,N,107,48,1,19.0,2.5,0.5,4.45,0.0,0.3,26.75,2.5,0.0
2,2022-04-05T21:30:06.000,2022-04-05T21:38:58.000,1.0,2.0,1.0,N,164,114,1,8.5,0.5,0.5,3.08,0.0,0.3,15.38,2.5,0.0
2,2022-09-03T18:34:00.000,2022-09-03T18:39:26.000,1.0,0.59,1.0,N,246,48,1,5.0,0.0,0.5,1.66,0.0,0.3,9.96,2.5,0.0
1,2022-12-12T18:36:17.000,2022-12-12T18:43:09.000,1.0,0.8,1.0,N,262,140,2,6.0,3.5,0.5,0.0,0.0,0.3,10.3,2.5,0.0
1,2022-04-16T02:59:45.000,2022-04-16T03:09:12.000,1.0,3.0,1.0,N,236,164,1,10.5,3.0,0.5,4.25,0.0,0.3,18.55,2.5,0.0
1,2022-09-03T17:55:51.000,2022-09-03T18:05:14.000,2.0,3.5,1.0,N,132,218,2,12.5,1.25,0.5,0.0,0.0,0.3,14.55,0.0,1.25
2,2022-09-25T09:20:23.000,2022-09-25T09:22:28.000,2.0,0.54,1.0,N,237,162,1,4.0,0.0,0.5,1.46,0.0,0.3,8.76,2.5,0.0
1,2022-10-08T16:57:41.000,2022-10-08T17:00:55.000,3.0,0.8,1.0,N,238,151,1,5.0,2.5,0.5,2.05,0.0,0.3,10.35,2.5,0.0
1,2022-03-27T02:54:10.000,2022-03-27T03:15:18.000,1.0,4.6,1.0,N,113,262,1,17.5,3.0,0.5,4.26,0.0,0.3,25.56,2.5,0.0
2,2022-11-27T15:14:29.000,2022-11-27T15:22:16.000,1.0,1.04,1.0,N,249,186,2,7.0,0.0,0.5,0.0,0.0,0.3,10.3,2.5,0.0
2,2022-06-17T21:37:56.000,2022-06-17T21:55:52.000,1.0,3.17,1.0,N,79,163,2,14.0,0.5,0.5,0.0,0.0,0.3,17.8,2.5,0.0
